Adobe Acrobat CC,\\labds.byui.edu.\Software\Adobe\Adobe Acrobat CC\Retrieved 5.16.18\Acrobat,AcrobatSilentInstall2018MSIVersion.bat,AcrobatSilentUninstall2018.bat
Adobe Air Installer,\\labds.byui.edu.\Software2\Adobe\Adobe_CC_2018\Adobe_CC_Air_2018,silent_install.bat,silent_uninstall.bat
Adobe Flash NPAPI,\\labds.byui.edu.\Software\Adobe\FlashPlayer\Flashv31.0.0.108\Firefox,install_flash_player_31_plugin.msi,install_flash_player_31_plugin.msi
Adobe Flash PPAPI,\\labds.byui.edu.\Software\Adobe\FlashPlayer\Flashv31.0.0.108\Chrome,install_flash_player_31_ppapi.msi,install_flash_player_31_ppapi.msi
Adobe Illustrator CC,\\labds.byui.edu.\Software2\Adobe\Adobe_CC_2018\Adobe_CC_Illustrator_2018,IllustratorSilentInstall2018.bat,Build\Adobe_CC_Illustrator_2018.msi
Adobe In Design CC,\\labds.byui.edu.\Software2\Adobe\Adobe_CC_2018\Adobe_CC_InDesign_2018,InDesignSilentInstall2018.bat,Build\Adobe_CC_InDesign_2018.msi
Adobe LightRoom Clasic CC,\\labds.byui.edu.\Software2\Adobe\Adobe_CC_2018\Adobe_CC_LightroomClassic_2018,LightroomSilentInstall2018.bat,Build\Lightroom_Classic_2018.msi
Adobe Photoshop CC,\\labds.byui.edu.\Software2\Adobe\Adobe_CC_2018\Adobe_CC_Photoshop_2018,PhotoshopSilentInstall2018.bat,Build\Adobe_CC_Photoshop_2018.msi
Adobe Shockwave,\\labds.byui.edu.\Software\Adobe\Shockwave\12.3.4.204,sw_lic_full_installer.msi,sw_lic_full_installer.msi
BlueView,\\labds.byui.edu.\Software\BlueView\BlueView2\SCCM,SilentInstall.bat,SilentUninstall.bat
Firefox,\\labds.byui.edu.\Software\Mozilla Firefox\Firefox-ExtendedSupportRelease\60.3.0,SilentInstall.bat,SilentUninstall.bat
Google Chrome,\\labds.byui.edu.\Software\Google\Chrome\9Sep18,SilentInstall.bat,SilentUninstall.bat
Notepad ++,\\labds.byui.edu.\Software\Notepad++\7.5.8,SilentInstall.bat,SilentUninstall.bat
